Product,Reviewer,Review_Title,Review_Text,Review_Rating,Review_Date,Product_URL
"Safari Cabin Genius Alley 55cm Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Carry on Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Navy",Ramakrishna gutam,Super product,Good.. value for money,,Reviewed in India on 28 April 2026,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0F67J5S83/ref=sr_1_6?sr=8-6
"Safari Cabin Genius Alley 55cm Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Carry on Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Navy",AishS,Good product,"Is lightweight,good price but could have been a little better quality ,good size for long journey travelling",,Reviewed in India on 19 March 2026,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0F67J5S83/ref=sr_1_6?sr=8-6
"Safari Cabin Genius Alley 55cm Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Carry on Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Navy",Nimish Singhal,Low quality product,"Only brand name , low quality product",,Reviewed in India on 23 March 2026,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0F67J5S83/ref=sr_1_6?sr=8-6
"Safari Cabin Genius Alley 55cm Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Carry on Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Navy",KAVIGANESH.E,Superb product,Worth for money. Looks good.,,Reviewed in India on 13 April 2026,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0F67J5S83/ref=sr_1_6?sr=8-6
"Safari Cabin Genius Alley 55cm Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Carry on Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Navy",Pardeep Mandora,Double rollers make it work easy,Material is good . Quality is impressive. Easy to carry,,Reviewed in India on 17 April 2026,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0F67J5S83/ref=sr_1_6?sr=8-6
"Safari Cabin Genius Alley 55cm Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Carry on Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Navy",Lucky Yadav,"Great product and timely delivery, good value for money.👍","Great product and timely delivery, good value for money.👍",,Reviewed in India on 12 April 2026,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0F67J5S83/ref=sr_1_6?sr=8-6
"Safari Medium Thorium Neo 8 Wheels 66 Cm Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",Damini,N/A,N/A,,Reviewed in India on 18 April 2026,https://www.amazon.in/Safari-Polycarbonate-Wheeling-Speed_Wheel-Suitcase/dp/B097JMXLT9/ref=sr_1_7?sr=8-7
"Safari Medium Thorium Neo 8 Wheels 66 Cm Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",Devendra Sharma,N/A,N/A,,Reviewed in India on 19 April 2026,https://www.amazon.in/Safari-Polycarbonate-Wheeling-Speed_Wheel-Suitcase/dp/B097JMXLT9/ref=sr_1_7?sr=8-7
"Safari Medium Thorium Neo 8 Wheels 66 Cm Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",Vineet Kumar,N/A,N/A,,Reviewed in India on 16 April 2026,https://www.amazon.in/Safari-Polycarbonate-Wheeling-Speed_Wheel-Suitcase/dp/B097JMXLT9/ref=sr_1_7?sr=8-7
"Safari Medium Thorium Neo 8 Wheels 66 Cm Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",Kiran R.,N/A,N/A,,Reviewed in India on 24 April 2026,https://www.amazon.in/Safari-Polycarbonate-Wheeling-Speed_Wheel-Suitcase/dp/B097JMXLT9/ref=sr_1_7?sr=8-7
"Safari Medium Thorium Neo 8 Wheels 66 Cm Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",Mrinal,N/A,N/A,,Reviewed in India on 16 November 2025,https://www.amazon.in/Safari-Polycarbonate-Wheeling-Speed_Wheel-Suitcase/dp/B097JMXLT9/ref=sr_1_7?sr=8-7
"Safari Medium Thorium Neo 8 Wheels 66 Cm Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",Shiv Shankar Dinda,N/A,N/A,,Reviewed in India on 25 April 2026,https://www.amazon.in/Safari-Polycarbonate-Wheeling-Speed_Wheel-Suitcase/dp/B097JMXLT9/ref=sr_1_7?sr=8-7
"Safari Medium Thorium Neo 8 Wheels 66 Cm Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",ASHRAF M D,N/A,N/A,,Reviewed in India on 5 April 2026,https://www.amazon.in/Safari-Polycarbonate-Wheeling-Speed_Wheel-Suitcase/dp/B097JMXLT9/ref=sr_1_7?sr=8-7
"Safari Medium Thorium Neo 8 Wheels 66 Cm Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",Abcd,N/A,N/A,,Reviewed in India on 27 April 2026,https://www.amazon.in/Safari-Polycarbonate-Wheeling-Speed_Wheel-Suitcase/dp/B097JMXLT9/ref=sr_1_7?sr=8-7
"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Deep Forrest",Dharmender Tiwari,N/A,N/A,,Reviewed in India on 20 April 2026,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0FLYFYT23/ref=sr_1_8?sr=8-8
"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Deep Forrest",Excellent,N/A,N/A,,Reviewed in India on 28 April 2026,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0FLYFYT23/ref=sr_1_8?sr=8-8
"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Deep Forrest",Ramakrishna gutam,N/A,N/A,,Reviewed in India on 28 April 2026,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0FLYFYT23/ref=sr_1_8?sr=8-8
"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Deep Forrest",AishS,N/A,N/A,,Reviewed in India on 19 March 2026,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0FLYFYT23/ref=sr_1_8?sr=8-8
"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Deep Forrest",Nimish Singhal,N/A,N/A,,Reviewed in India on 23 March 2026,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0FLYFYT23/ref=sr_1_8?sr=8-8
"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Deep Forrest",KAVIGANESH.E,N/A,N/A,,Reviewed in India on 13 April 2026,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0FLYFYT23/ref=sr_1_8?sr=8-8
"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Deep Forrest",Pardeep Mandora,N/A,N/A,,Reviewed in India on 17 April 2026,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0FLYFYT23/ref=sr_1_8?sr=8-8
"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Deep Forrest",Lucky Yadav,N/A,N/A,,Reviewed in India on 12 April 2026,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0FLYFYT23/ref=sr_1_8?sr=8-8
"Safari Cabin Polycarbonate Spinner Thorium Neo 8 Wheels 55Cm Size Trolley Bag, Hard Case, 360º Wheeling Carry-On Luggage for Men & Women, Travel Bag, Suitcase for Travel, Dusk Green",Damini,Sturdy and Durable ❤️,"Too good ! Sturdy ! And truly durable.. it's been years since I bought this and It's still going good, I have used it for all sorts of travel, airways, railways, travels etc but still I never found it out to be damaged by anything. Just scratches on body but that can be prevented if you use cover, I did not so the scratches were obvious but over all worth the money. Go for it !!",,Reviewed in India on 18 April 2026,https://www.amazon.in/Safari-Polycarbonate-Spinner-Wheeling-Suitcase/dp/B097BH9MD5/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Cabin Polycarbonate Spinner Thorium Neo 8 Wheels 55Cm Size Trolley Bag, Hard Case, 360º Wheeling Carry-On Luggage for Men & Women, Travel Bag, Suitcase for Travel, Dusk Green",Devendra Sharma,Affordable,Nice durable,,Reviewed in India on 19 April 2026,https://www.amazon.in/Safari-Polycarbonate-Spinner-Wheeling-Suitcase/dp/B097BH9MD5/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Cabin Polycarbonate Spinner Thorium Neo 8 Wheels 55Cm Size Trolley Bag, Hard Case, 360º Wheeling Carry-On Luggage for Men & Women, Travel Bag, Suitcase for Travel, Dusk Green",Vineet Kumar,Safari Thorium Neo 8 wheels review.,I bought this Trally beg in 1999. It's build quality is best and looking good. Wheels are good. But handle should be stronger more. It's looks like it will be break but working properly. Size is good but it should be long no width. Product is Best.,,Reviewed in India on 16 April 2026,https://www.amazon.in/Safari-Polycarbonate-Spinner-Wheeling-Suitcase/dp/B097BH9MD5/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Cabin Polycarbonate Spinner Thorium Neo 8 Wheels 55Cm Size Trolley Bag, Hard Case, 360º Wheeling Carry-On Luggage for Men & Women, Travel Bag, Suitcase for Travel, Dusk Green",Kiran R.,Product is good,"Good product, easy to carry but not scratch resistant 🥲 size is also okay for one person's travelling",,Reviewed in India on 24 April 2026,https://www.amazon.in/Safari-Polycarbonate-Spinner-Wheeling-Suitcase/dp/B097BH9MD5/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Cabin Polycarbonate Spinner Thorium Neo 8 Wheels 55Cm Size Trolley Bag, Hard Case, 360º Wheeling Carry-On Luggage for Men & Women, Travel Bag, Suitcase for Travel, Dusk Green",Mrinal,Good design but Average product for its price,"Writing review after 1 year of purchase

Positives:
- good quality
- Good color
- good space
- good for cabin bags
- wheels are nice
- rolls nicely
- light weight
- handle quality is good but design and switch is not

Negatives:
- expensive for its design and quality
- not balanced properly(design is flawed)
- fell down easily
- handle and extended handle is not sturdy
- extended handle causes problem(started after 2 months)
- handle switch is not of good quality

For this price, I would expect something better.
Read more",,Reviewed in India on 16 November 2025,https://www.amazon.in/Safari-Polycarbonate-Spinner-Wheeling-Suitcase/dp/B097BH9MD5/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Cabin Polycarbonate Spinner Thorium Neo 8 Wheels 55Cm Size Trolley Bag, Hard Case, 360º Wheeling Carry-On Luggage for Men & Women, Travel Bag, Suitcase for Travel, Dusk Green",Shiv Shankar Dinda,Strong and best 💪,Nice coller and look,,Reviewed in India on 25 April 2026,https://www.amazon.in/Safari-Polycarbonate-Spinner-Wheeling-Suitcase/dp/B097BH9MD5/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Cabin Polycarbonate Spinner Thorium Neo 8 Wheels 55Cm Size Trolley Bag, Hard Case, 360º Wheeling Carry-On Luggage for Men & Women, Travel Bag, Suitcase for Travel, Dusk Green",ASHRAF M D,Nice product,"I'm always satisfied with Safari products. This time also I'm satisfied, product is same as shown in the picture, same colour,same size ,well packed and delivered on time by Amazon..",,Reviewed in India on 5 April 2026,https://www.amazon.in/Safari-Polycarbonate-Spinner-Wheeling-Suitcase/dp/B097BH9MD5/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Cabin Polycarbonate Spinner Thorium Neo 8 Wheels 55Cm Size Trolley Bag, Hard Case, 360º Wheeling Carry-On Luggage for Men & Women, Travel Bag, Suitcase for Travel, Dusk Green",Abcd,Replacement with better one.waiting for your reply.,"Can we replace the item better to this one, quality is not satisfactory. So we want to replate sturdy one, so plz co-op erate the necessary.",,Reviewed in India on 27 April 2026,https://www.amazon.in/Safari-Polycarbonate-Spinner-Wheeling-Suitcase/dp/B097BH9MD5/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Pentagon Pro 8 Wheels Spinner Cabin Trolley Bag Polypropylene Hard Case, 360° Wheeling Carry on Luggage for Men & Women, Suitcase for Travel, Black, 55 cm",Mohammad Muzammil,Value of money.. good product,Nyc product value of money 😁,,Reviewed in India on 28 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BH338H/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Pentagon Pro 8 Wheels Spinner Cabin Trolley Bag Polypropylene Hard Case, 360° Wheeling Carry on Luggage for Men & Women, Suitcase for Travel, Black, 55 cm",Priyanshu Jha,"Sturdy, Stylish & Value for Money","The bag quality is really good and feels sturdy. The outer shell is strong, the design looks premium, and the wheels move smoothly overall. Size and storage are perfect for travel, and the finish is neat and classy.

The only reason for giving 4 stars instead of 5 is that there are minor scratches on the wheels, likely due to handling or drop point during delivery. It doesn’t affect functionality at all, but worth mentioning.

Overall, a great product at this price, durable and worth buying. Highly recommended for frequent travellers.",,Reviewed in India on 21 January 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BH338H/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Pentagon Pro 8 Wheels Spinner Cabin Trolley Bag Polypropylene Hard Case, 360° Wheeling Carry on Luggage for Men & Women, Suitcase for Travel, Black, 55 cm",Gitika R.,"The big one may get some scratches, I think because of shipping, otherwise everything is top notch",Quality seems nice 👍🏻,,Reviewed in India on 28 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BH338H/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Pentagon Pro 8 Wheels Spinner Cabin Trolley Bag Polypropylene Hard Case, 360° Wheeling Carry on Luggage for Men & Women, Suitcase for Travel, Black, 55 cm",Punith .D,Quality is good.,"It's really very good and worth the money, also the key to zip is 000 , and that is given inside the bag, how can one see it without opening it , so please give it outside the bag.",,Reviewed in India on 7 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BH338H/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Pentagon Pro 8 Wheels Spinner Cabin Trolley Bag Polypropylene Hard Case, 360° Wheeling Carry on Luggage for Men & Women, Suitcase for Travel, Black, 55 cm",Dheeraj kumar shukla,Wheel quality issue,Quality of product is good however i am not satisfied with the wheel quality and handle is also not strong enough,,Reviewed in India on 21 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BH338H/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Pentagon Pro 8 Wheels Spinner Cabin Trolley Bag Polypropylene Hard Case, 360° Wheeling Carry on Luggage for Men & Women, Suitcase for Travel, Black, 55 cm",Amar,"Volum is good, Chain can be better.","I have 4 year old 2 AT bags, the chain of which is still very smooth and perfectly working. On contrary safari chain has poor quality. Plastic body easily got scratched. Size is good so fits more stuffs that AT in same size category.",,Reviewed in India on 18 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BH338H/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Pentagon Pro 8 Wheels Spinner Cabin Trolley Bag Polypropylene Hard Case, 360° Wheeling Carry on Luggage for Men & Women, Suitcase for Travel, Black, 55 cm",Swetha,Value for money,"I’ve got the trolley for 1700, and it’s a great deal to have the trolley in the vanity. Great stutdy suitcase.",,Reviewed in India on 14 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BH338H/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Pentagon Pro 8 Wheels Spinner Cabin Trolley Bag Polypropylene Hard Case, 360° Wheeling Carry on Luggage for Men & Women, Suitcase for Travel, Black, 55 cm",sindhu,Good but lock is little troublesome,So far it was good. But on my recent trip to tirupati the lock didn't open i had to try some youtube hack and open it.,,Reviewed in India on 8 March 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BH338H/ref=sxin_14_pa_sp_search_thematic_sspa
"Safari Pentagon Pro 8 Wheels 55cm Cabin Size Trolley Bag, Hard Case Polypropylene, 360º Wheeling Small Carry-on Luggage, Suitcase for Travel, Trolley Bags for Travel, Luxury Beige",Mohammad Muzammil,N/A,N/A,,Reviewed in India on 28 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097GSSCLC/ref=sr_1_11?sr=8-11
"Safari Pentagon Pro 8 Wheels 55cm Cabin Size Trolley Bag, Hard Case Polypropylene, 360º Wheeling Small Carry-on Luggage, Suitcase for Travel, Trolley Bags for Travel, Luxury Beige",Priyanshu Jha,N/A,N/A,,Reviewed in India on 21 January 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097GSSCLC/ref=sr_1_11?sr=8-11
"Safari Pentagon Pro 8 Wheels 55cm Cabin Size Trolley Bag, Hard Case Polypropylene, 360º Wheeling Small Carry-on Luggage, Suitcase for Travel, Trolley Bags for Travel, Luxury Beige",Gitika R.,N/A,N/A,,Reviewed in India on 28 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097GSSCLC/ref=sr_1_11?sr=8-11
"Safari Pentagon Pro 8 Wheels 55cm Cabin Size Trolley Bag, Hard Case Polypropylene, 360º Wheeling Small Carry-on Luggage, Suitcase for Travel, Trolley Bags for Travel, Luxury Beige",Punith .D,N/A,N/A,,Reviewed in India on 7 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097GSSCLC/ref=sr_1_11?sr=8-11
"Safari Pentagon Pro 8 Wheels 55cm Cabin Size Trolley Bag, Hard Case Polypropylene, 360º Wheeling Small Carry-on Luggage, Suitcase for Travel, Trolley Bags for Travel, Luxury Beige",Dheeraj kumar shukla,N/A,N/A,,Reviewed in India on 21 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097GSSCLC/ref=sr_1_11?sr=8-11
"Safari Pentagon Pro 8 Wheels 55cm Cabin Size Trolley Bag, Hard Case Polypropylene, 360º Wheeling Small Carry-on Luggage, Suitcase for Travel, Trolley Bags for Travel, Luxury Beige",Amar,N/A,N/A,,Reviewed in India on 18 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097GSSCLC/ref=sr_1_11?sr=8-11
"Safari Pentagon Pro 8 Wheels 55cm Cabin Size Trolley Bag, Hard Case Polypropylene, 360º Wheeling Small Carry-on Luggage, Suitcase for Travel, Trolley Bags for Travel, Luxury Beige",Swetha,N/A,N/A,,Reviewed in India on 14 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097GSSCLC/ref=sr_1_11?sr=8-11
"Safari Pentagon Pro 8 Wheels 55cm Cabin Size Trolley Bag, Hard Case Polypropylene, 360º Wheeling Small Carry-on Luggage, Suitcase for Travel, Trolley Bags for Travel, Luxury Beige",sindhu,N/A,N/A,,Reviewed in India on 8 March 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097GSSCLC/ref=sr_1_11?sr=8-11
"Safari Polypropylene Spinner Pentagon Pro 8 Wheels Set Of 3 (Cabin + Medium + Large) Trolley Bags, Hard Case, 360º Wheeling Luggage, Suitcase For Travel, Navy, 55, 65, 75 cm",Mohammad Muzammil,N/A,N/A,,Reviewed in India on 28 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BFTPVH/ref=sr_1_12?sr=8-12
"Safari Polypropylene Spinner Pentagon Pro 8 Wheels Set Of 3 (Cabin + Medium + Large) Trolley Bags, Hard Case, 360º Wheeling Luggage, Suitcase For Travel, Navy, 55, 65, 75 cm",Priyanshu Jha,N/A,N/A,,Reviewed in India on 21 January 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BFTPVH/ref=sr_1_12?sr=8-12
"Safari Polypropylene Spinner Pentagon Pro 8 Wheels Set Of 3 (Cabin + Medium + Large) Trolley Bags, Hard Case, 360º Wheeling Luggage, Suitcase For Travel, Navy, 55, 65, 75 cm",Gitika R.,N/A,N/A,,Reviewed in India on 28 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BFTPVH/ref=sr_1_12?sr=8-12
"Safari Polypropylene Spinner Pentagon Pro 8 Wheels Set Of 3 (Cabin + Medium + Large) Trolley Bags, Hard Case, 360º Wheeling Luggage, Suitcase For Travel, Navy, 55, 65, 75 cm",Punith .D,N/A,N/A,,Reviewed in India on 7 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BFTPVH/ref=sr_1_12?sr=8-12
"Safari Polypropylene Spinner Pentagon Pro 8 Wheels Set Of 3 (Cabin + Medium + Large) Trolley Bags, Hard Case, 360º Wheeling Luggage, Suitcase For Travel, Navy, 55, 65, 75 cm",Dheeraj kumar shukla,N/A,N/A,,Reviewed in India on 21 April 2026,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BFTPVH/ref=sr_1_12?sr=8-12
